候选编号,原始名称,原始CAS,原始货号,查询方式,PubChem CID,PubChem标准名称,Isomeric SMILES,Canonical SMILES,InChI,InChIKey,分子式,查询来源,查询时间,匹配状态,冲突说明,自动匹配或人工确认,是否为盐,是否为水合物或溶剂化物,是否为混合物,未定义立体结构,缓存主键
#0018,1-Adamantylthiourea,25444-82-0,A1403,CAS,796429,1-adamantylthiourea,C1C2CC3CC1CC(C2)(C3)NC(=S)N,C1C2CC3CC1CC(C2)(C3)NC(=S)N,"InChI=1S/C11H18N2S/c12-10(14)13-11-4-7-1-8(5-11)3-9(2-7)6-11/h7-9H,1-6H2,(H3,12,13,14)",LRWQENBAFMBIJR-UHFFFAOYSA-N,C11H18N2S,PubChem PUG REST,2026-08-04T15:54:45.838535+00:00,已匹配,,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:25444-82-0
#0052,Alendronic Acid,66376-36-1,A2120,CAS,2088,(4-amino-1-hydroxy-1-phosphonobutyl)phosphonic acid,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,"InChI=1S/C4H13NO7P2/c5-3-1-2-4(6,13(7,8)9)14(10,11)12/h6H,1-3,5H2,(H2,7,8,9)(H2,10,11,12)",OGSPWJRAVKPPFI-UHFFFAOYSA-N,C4H13NO7P2,PubChem PUG REST,2026-08-04T15:56:22.397065+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:66376-36-1
#0093,2-Amino-5-bromopyridine,1072-97-5,A1587,CAS,70622,5-bromopyridin-2-amine,C1=CC(=NC=C1Br)N,C1=CC(=NC=C1Br)N,"InChI=1S/C5H5BrN2/c6-4-1-2-5(7)8-3-4/h1-3H,(H2,7,8)",WGOLHUGPTDEKCF-UHFFFAOYSA-N,C5H5BrN2,PubChem PUG REST,2026-08-04T15:58:17.512616+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:1072-97-5
#0134,5-Chloroindole-2-carboxylic Acid,10517-21-2,C1868,CAS,82693,5-chloro-1H-indole-2-carboxylic acid,C1=CC2=C(C=C1Cl)C=C(N2)C(=O)O,C1=CC2=C(C=C1Cl)C=C(N2)C(=O)O,"InChI=1S/C9H6ClNO2/c10-6-1-2-7-5(3-6)4-8(11-7)9(12)13/h1-4,11H,(H,12,13)",FUQOTYRCMBZFOL-UHFFFAOYSA-N,C9H6ClNO2,PubChem PUG REST,2026-08-04T16:00:21.008890+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:10517-21-2
#0147,"N,N,N',N'-Ethylenediaminetetrakis(methylenephosphonic Acid)",1429-50-1,E0393,CAS,15025,[2-[bis(phosphonomethyl)amino]ethyl-(phosphonomethyl)amino]methylphosphonic acid,C(CN(CP(=O)(O)O)CP(=O)(O)O)N(CP(=O)(O)O)CP(=O)(O)O,C(CN(CP(=O)(O)O)CP(=O)(O)O)N(CP(=O)(O)O)CP(=O)(O)O,"InChI=1S/C6H20N2O12P4/c9-21(10,11)3-7(4-22(12,13)14)1-2-8(5-23(15,16)17)6-24(18,19)20/h1-6H2,(H2,9,10,11)(H2,12,13,14)(H2,15,16,17)(H2,18,19,20)",NFDRPXJGHKJRLJ-UHFFFAOYSA-N,C6H20N2O12P4,PubChem PUG REST,2026-08-04T16:00:56.942457+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:1429-50-1
#0202,3-Thiophenemalonic Acid,21080-92-2,T1354,CAS,88782,2-thiophen-3-ylpropanedioic acid,C1=CSC=C1C(C(=O)O)C(=O)O,C1=CSC=C1C(C(=O)O)C(=O)O,"InChI=1S/C7H6O4S/c8-6(9)5(7(10)11)4-1-2-12-3-4/h1-3,5H,(H,8,9)(H,10,11)",GCOOGCQWQFRJEK-UHFFFAOYSA-N,C7H6O4S,PubChem PUG REST,2026-08-04T16:03:33.983776+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:21080-92-2
#0251,Quinoline-8-boronic Acid (contains varying amounts of Anhydride),86-58-8,Q0086,CAS,2734380,quinolin-8-ylboronic acid,B(C1=C2C(=CC=C1)C=CC=N2)(O)O,B(C1=C2C(=CC=C1)C=CC=N2)(O)O,"InChI=1S/C9H8BNO2/c12-10(13)8-5-1-3-7-4-2-6-11-9(7)8/h1-6,12-13H",KXJJSKYICDAICD-UHFFFAOYSA-N,C9H8BNO2,PubChem PUG REST,2026-08-04T16:05:58.875457+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,是,未见显式立体标记（不等于存在手性未定义）,CAS:86-58-8
#0333,Carbazochrome,69-81-8,A0176,CAS,2557,"(3,6-dihydroxy-1-methyl-2,3-dihydroindol-5-yl)iminourea",CN1CC(C2=CC(=C(C=C21)O)N=NC(=O)N)O,CN1CC(C2=CC(=C(C=C21)O)N=NC(=O)N)O,"InChI=1S/C10H12N4O3/c1-14-4-9(16)5-2-6(12-13-10(11)17)8(15)3-7(5)14/h2-3,9,15-16H,4H2,1H3,(H2,11,17)",SSCSSDNTQJGTJT-UHFFFAOYSA-N,C10H12N4O3,PubChem PUG REST,2026-08-04T16:10:03.607472+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:69-81-8
#0372,Sodium 4-Aminosalicylate Dihydrate,6018-19-5,A0423,CAS,16211148,sodium;4-amino-2-hydroxybenzoate;dihydrate,C1=CC(=C(C=C1N)O)C(=O)[O-].O.O.[Na+],C1=CC(=C(C=C1N)O)C(=O)[O-].O.O.[Na+],"InChI=1S/C7H7NO3.Na.2H2O/c8-4-1-2-5(7(10)11)6(9)3-4;;;/h1-3,9H,8H2,(H,10,11);;2*1H2/q;+1;;/p-1",GMUQJDAYXZXBOT-UHFFFAOYSA-M,C7H10NNaO5,PubChem PUG REST,2026-08-04T16:11:56.436251+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,是,是,否,未见显式立体标记（不等于存在手性未定义）,CAS:6018-19-5
#0496,DL-Adrenaline Hydrochloride,329-63-5,A0909,CAS,5924,"4-[1-hydroxy-2-(methylamino)ethyl]benzene-1,2-diol;hydrochloride",CNCC(C1=CC(=C(C=C1)O)O)O.Cl,CNCC(C1=CC(=C(C=C1)O)O)O.Cl,"InChI=1S/C9H13NO3.ClH/c1-10-5-9(13)6-2-3-7(11)8(12)4-6;/h2-4,9-13H,5H2,1H3;1H",ATADHKWKHYVBTJ-UHFFFAOYSA-N,C9H14ClNO3,PubChem PUG REST,2026-08-04T16:18:44.884510+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,是,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:329-63-5
#0498,2-Aminopyrazine,5049-61-6,A0989,CAS,78747,pyrazin-2-amine,C1=CN=C(C=N1)N,C1=CN=C(C=N1)N,"InChI=1S/C4H5N3/c5-4-3-6-1-2-7-4/h1-3H,(H2,5,7)",XFTQRUTUGRCSGO-UHFFFAOYSA-N,C4H5N3,PubChem PUG REST,2026-08-04T16:18:49.855285+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:5049-61-6
#0511,"5-Amino-N,N'-bis(2,3-dihydroxypropyl)isophthalamide Hydrochloride",203515-86-0,A1951,CAS,44629992,"5-amino-1-N,3-N-bis(2,3-dihydroxypropyl)benzene-1,3-dicarboxamide;hydrochloride",C1=C(C=C(C=C1C(=O)NCC(CO)O)N)C(=O)NCC(CO)O.Cl,C1=C(C=C(C=C1C(=O)NCC(CO)O)N)C(=O)NCC(CO)O.Cl,"InChI=1S/C14H21N3O6.ClH/c15-10-2-8(13(22)16-4-11(20)6-18)1-9(3-10)14(23)17-5-12(21)7-19;/h1-3,11-12,18-21H,4-7,15H2,(H,16,22)(H,17,23);1H",GNBBCFFLJFKAHB-UHFFFAOYSA-N,C14H22ClN3O6,PubChem PUG REST,2026-08-04T16:19:27.166702+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,是,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:203515-86-0
#0523,4-Amino-3-chlorophenol Hydrochloride,52671-64-4,A1376,CAS,12598190,4-amino-3-chlorophenol;hydrochloride,C1=CC(=C(C=C1O)Cl)N.Cl,C1=CC(=C(C=C1O)Cl)N.Cl,"InChI=1S/C6H6ClNO.ClH/c7-5-3-4(9)1-2-6(5)8;/h1-3,9H,8H2;1H",RFJVQGMBFQGZPV-UHFFFAOYSA-N,C6H7Cl2NO,PubChem PUG REST,2026-08-04T16:20:08.897564+00:00,已匹配,,自动匹配,是,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:52671-64-4
#0534,4-Chloro-DL-mandelic Acid,7138-34-3,C0193,CAS,10299,2-(4-chlorophenyl)-2-hydroxyacetic acid,C1=CC(=CC=C1C(C(=O)O)O)Cl,C1=CC(=CC=C1C(C(=O)O)O)Cl,"InChI=1S/C8H7ClO3/c9-6-3-1-5(2-4-6)7(10)8(11)12/h1-4,7,10H,(H,11,12)",BWSFWXSSALIZAU-UHFFFAOYSA-N,C8H7ClO3,PubChem PUG REST,2026-08-04T16:20:48.917640+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:7138-34-3
#0538,Carbohydrazide,497-18-7,C0803,CAS,,,,,,,,PubChem PUG REST,2026-08-04T16:21:03.000789+00:00,查询失败,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:497-18-7
#0600,Homogentisic Acid,451-13-8,D1050,CAS,780,"2-(2,5-dihydroxyphenyl)acetic acid",C1=CC(=C(C=C1O)CC(=O)O)O,C1=CC(=C(C=C1O)CC(=O)O)O,"InChI=1S/C8H8O4/c9-6-1-2-7(10)5(3-6)4-8(11)12/h1-3,9-10H,4H2,(H,11,12)",IGMNYECMUMZDDF-UHFFFAOYSA-N,C8H8O4,PubChem PUG REST,2026-08-04T16:24:57.996939+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:451-13-8
#0636,Dithiodiglycolic Acid,505-73-7,D0945,CAS,68164,2-(carboxymethyldisulfanyl)acetic acid,C(C(=O)O)SSCC(=O)O,C(C(=O)O)SSCC(=O)O,"InChI=1S/C4H6O4S2/c5-3(6)1-9-10-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)",DLLMHEDYJQACRM-UHFFFAOYSA-N,C4H6O4S2,PubChem PUG REST,2026-08-04T16:27:24.072820+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:505-73-7
